Index,sexe,age,arrondissement,bureau,visite_score,communication,satisfait_score,la foule,Manque des employé,mauvaise maniere Traitement,les_horaires,jourFoule,bureauAvis,amileoration
59,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,non,2,non,oui,non,entre 9 et 11,mardi,"Augmenter le nombre des employés 
Changer totalement le décore de la comune (c’est pas bon qu’une comune ne s’est pas changé dendans pour des dizaines d’années)
Plus d’agents de sécurité pour tout bien organiser 
Appliquer la loi des amendes sur les employés ",Il a besoin d’un renouvellement 
60,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,non,0,non,non,oui,entre 9 et 11,jeudi,,عدم الاحترافية، 
61,Femme,entre 18 et 25ans,AGDAL,SIDI BRAHIMKARAOUIYINE,rarement,non,3,non,oui,non,entre 1 et 3,mardi,,
62,Homme,entre 18 et 25ans,AGDAL,AGDALLAMTIYINE,rarement,non,2,oui,oui,oui,entre 9 et 11,lundi,Reformulation complètement et formation continue des employés ,Manque de responsabilité et de sérieux 
63,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,non,2,oui,oui,oui,entre 11 et 1,vendredi,,
64,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,des fois par année,non,3,non,oui,oui,entre 11 et 1,vendredi,,
65,Femme,entre 18 et 25ans,AGDAL,SIDI BRAHIMLAMTIYINE,des fois par année,non,3,non,non,oui,entre 9 et 11,lundi,"Augmenter le nombre d'employés pour éviter le surpeuplement
Formation des comités de suivi",Ils fournissent un service insatisfaisant en raison de la négligence de certains employés et de l'incapacité à faciliter les services aux citoyens parfois
66,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,non,2,non,non,oui,entre 11 et 1,jeudi,,
67,Femme,entre 18 et 25ans,MERINIDES,BEN DABBAB :,plusieurs fois par année,non,3,non,non,oui,entre 11 et 1,mercredi,Bien controler ,Mauvaise affaire
68,Homme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,rarement,non,0,non,non,oui,entre 9 et 11,lundi,,
69,Femme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,des fois par année,non,3,non,non,oui,entre 9 et 11,vendredi,,Des mal services 
70,Femme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,rarement,non,2,non,non,oui,entre 9 et 11,mardi,,
71,Homme,entre 18 et 25ans,AGDAL,DAR DBIBAGHANDALOUS,des fois par année,non,1,oui,oui,oui,entre 9 et 11,lundi,Tout changer,Du n'importe quoi
72,Femme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,non,0,oui,oui,oui,entre 9 et 11,lundi,,
73,Femme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,non,0,oui,non,oui,entre 9 et 11,lundi,,
74,Homme,entre 25 et 35,SAISS,NARJISS,des fois par année,non,3,oui,non,non,entre 11 et 1,mardi,"Il faut du personnel et organiser le travail, simplifier les procédures administratives ",Il faut du personnel et organiser le travail 
75,Femme,entre 18 et 25ans,MERINIDES,DHAR LAKHMISS,rarement,oui,1,non,oui,oui,entre 11 et 1,lundi,,
76,Homme,entre 18 et 25ans,SAISS,ZOUHOUR,des fois par année,non,2,non,non,oui,entre 9 et 11,vendredi,,
77,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,0,oui,non,oui,entre 9 et 11,lundi,Des personnages morales,Mauvaise 
78,Femme,entre 18 et 25ans,FES-MEDINA,BAB LKHOUKHA,des fois par année,non,2,oui,non,oui,entre 1 et 3,lundi,,
79,Femme,entre 18 et 25ans,FES-MEDINA,BATHA,des fois par année,non,3,non,non,oui,entre 9 et 11,vendredi,,
80,Homme,entre 18 et 25ans,FES-MEDINA,ANDALOUS,plusieurs fois par année,oui,0,oui,oui,oui,entre 11 et 1,mardi,,
81,Femme,entre 18 et 25ans,AGDAL,AGDALANDALOUS,des fois par année,non,3,non,non,oui,entre 9 et 11,lundi,Donner l l'opportunité à les jeunes de travailler ,Peu satisfaisant 
82,Homme,entre 18 et 25ans,ZOUGHA,ZOUGHA,plusieurs fois par année,non,3,non,oui,non,entre 11 et 1,vendredi,,
83,Femme,entre 18 et 25ans,JNAN EL WARD,SIDI BOUJIDA,des fois par année,non,1,non,non,oui,entre 9 et 11,lundi,,
84,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,2,oui,non,non,entre 9 et 11,lundi,aucune id�e,
85,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,2,non,non,oui,,,aucune id�e,
86,Homme,plus de 35ans,JNAN EL WARD,SAHB LWARD,plusieurs fois par année,oui,1,non,non,oui,,,aucune id�e,
87,Homme,entre 18 et 25ans,FES-MEDINA,KARAOUIYINE,rarement,non,3,non,non,oui,,,aucune id�e,
88,Femme,entre 18 et 25ans,ZOUGHA,ZOUGHA,rarement,oui,3,oui,non,non,entre 9 et 11,lundi,Organiser les horaires,
89,Femme,entre 18 et 25ans,AGDAL,TARIKBATHA,des fois par année,non,1,non,non,oui,,,Happy,
90,Femme,entre 18 et 25ans,MERINIDES,DHAR LAKHMISS,rarement,non,1,oui,non,oui,entre 9 et 11,lundi,L'organisation,
91,Homme,entre 18 et 25ans,JNAN EL WARD,SAHB LWARD,des fois par année,non,0,oui,oui,oui,entre 9 et 11,lundi, ,
92,Homme,entre 18 et 25ans,SAISS,NARJISS,des fois par année,non,3,non,oui,oui,entre 1 et 3,mardi,Organisation,
